Department,Year,FTEs,Headcount,Average Age,Tenure,Average sick and domestic leave taken per employee (days),Average leave balance (days),Percentage of staff with a leave balance of over 5 weeks,Gross Turnover,Unplanned Turnover,Unplanned turnover of staff with less than 2 years tenure,Number of fixed term staff,Percentage of fixed term staff,Number of Managers,Percentage of Managers,Number of Women,Percentage of Women,Number of Maori staff,Percentage of Maori staff,Number of Asian staff,Percentage of Asian staff,Number of Pacific staff,Percentage of Pacific staff
Ministry of Education,2005,"2,449.0","3,396",43.92,6.58,5.21,14.54,13.40,34.85,15.12,17.67,1156,34.04,,,2796,82.33,383,12.54,97,3.18,100,3.27
Ministry of Education,2006,"2,442.2","3,314",44.46,6.80,5.19,15.37,15.97,34.55,15.18,18.62,1074,32.41,,,2709,81.74,381,12.58,110,3.63,90,2.97
Ministry of Education,2007,"2,553.7","3,443",44.51,6.74,5.57,15.05,16.33,29.01,14.30,16.44,1080,31.37,266,7.73,2803,81.41,396,12.31,150,4.66,95,2.95
Ministry of Education,2008,"2,552.0","3,404",44.78,6.91,5.94,16.21,18.31,30.29,17.00,18.89,1073,31.52,242,7.11,2764,81.20,397,12.36,157,4.89,112,3.49
Ministry of Education,2009,"2,530.4","3,347",45.47,7.02,6.43,15.47,16.56,29.68,13.98,18.41,929,27.76,273,8.16,2711,81.00,370,11.62,148,4.65,116,3.64
Ministry of Education,2010,"2,444.4","3,187",45.98,7.67,6.62,15.99,16.54,26.05,11.68,18.48,860,26.98,272,8.53,2552,80.08,383,12.62,152,5.01,109,3.59
Ministry of Education,2011,"2,467.2","3,199",46.40,7.83,6.20,12.60,13.07,23.65,13.35,16.85,861,26.91,293,9.16,2571,80.37,383,12.45,152,4.94,109,3.54
Ministry of Education,2012,"2,334.3","2,983",47.14,7.84,6.85,13.72,12.86,20.28,11.90,12.73,749,25.11,317,10.63,2384,79.92,308,11.02,127,4.55,168,6.01
Ministry of Education,2013,"2,569.8","3,250",46.99,7.83,6.13,12.70,12.00,17.46,10.68,14.08,932,28.68,409,12.58,2595,79.85,415,13.24,176,5.62,120,3.83
Education Review Office,2000,156.1,159,49.94,7.06,,,,,,,5,3.14,,,101,63.52,24,15.09,,,6,3.77
Education Review Office,2001,167.2,172,50.89,7.19,,,,12.08,8.36,7.55,15,8.72,,,115,66.86,25,15.06,,,4,2.41
Education Review Office,2002,179.9,188,50.86,6.17,,,,22.22,17.86,15.22,9,4.79,,,130,69.15,34,18.18,4,2.14,7,3.74
Education Review Office,2003,173.4,178,51.83,7.06,3.51,11.59,4.38,15.85,12.57,18.52,7,3.93,,,120,67.42,34,19.32,4,2.27,6,3.41
Education Review Office,2004,198.7,205,51.10,6.56,3.70,10.60,3.31,10.44,10.93,10.42,10,4.88,,,144,70.24,39,19.40,4,1.99,6,2.99
Education Review Office,2005,227.3,235,50.80,6.41,3.23,12.07,5.83,7.73,0.00,0.00,14,5.96,,,171,72.77,43,18.61,3,1.30,7,3.03
Education Review Office,2006,246.1,257,50.92,6.84,3.68,12.87,6.79,5.69,4.30,2.63,13,5.06,,,187,72.76,49,19.07,4,1.56,11,4.28
Education Review Office,2007,233.4,241,51.40,7.41,3.25,11.48,5.56,17.67,12.94,8.89,6,2.49,23,9.54,177,73.44,52,21.58,6,2.49,9,3.73
Education Review Office,2008,213.1,220,52.30,7.24,6.74,12.98,7.69,19.96,19.73,21.98,9,4.09,20,9.09,160,72.73,47,22.07,6,2.82,11,5.16
Education Review Office,2009,219.4,226,53.26,7.63,8.26,12.87,7.32,8.97,4.63,7.59,5,2.21,16,7.08,162,71.68,44,20.56,3,1.40,10,4.67
Education Review Office,2010,209.0,215,54.27,8.39,8.04,13.60,5.08,11.79,7.41,20.29,4,1.86,18,8.37,154,71.63,41,20.10,3,1.47,11,5.39
Education Review Office,2011,216.1,225,54.42,8.42,5.41,14.25,9.20,10.91,8.40,19.23,14,6.22,16,7.11,166,73.78,43,20.98,5,2.44,9,4.39
Education Review Office,2012,210.0,219,55.60,8.79,3.49,13.90,9.47,11.26,8.08,16.95,9,4.11,14,6.39,161,73.52,37,18.50,5,2.50,11,5.50
Education Review Office,2013,210.9,219,56.19,9.33,8.79,14.79,12.63,7.76,4.78,3.39,11,5.02,14,6.39,159,72.60,42,21.11,5,2.51,10,5.03
Ministry for the Environment,2000,99.8,103,39.29,6.15,,,,,,,6,5.83,,,63,61.17,5,5.00,3,3.00,4,4.00
Ministry for the Environment,2001,122.5,126,38.62,5.53,,,,13.97,13.33,12.82,13,10.32,,,72,57.14,7,5.65,2,1.61,4,3.23
Ministry for the Environment,2002,138.5,142,38.21,5.36,,,,24.63,16.95,22.22,19,13.38,,,85,59.86,7,5.00,3,2.14,2,1.43
Ministry for the Environment,2003,172.4,180,39.14,4.53,,11.85,9.86,15.53,10.04,14.06,24,13.33,,,108,60.00,6,3.77,5,3.14,3,1.89
Ministry for the Environment,2004,218.7,224,38.10,3.49,3.95,12.05,5.32,26.24,16.71,16.75,21,9.38,,,133,59.38,6,2.93,6,2.93,3,1.46
Ministry for the Environment,2005,222.3,228,38.56,3.86,4.19,10.92,3.83,25.22,20.95,17.35,30,13.16,,,137,60.09,4,2.42,9,5.45,2,1.21
Ministry for the Environment,2006,249.4,257,38.40,4.00,4.39,9.55,0.91,21.44,18.43,17.73,21,8.17,,,155,60.31,10,4.37,9,3.93,3,1.31
Ministry for the Environment,2007,265.5,271,38.08,4.07,4.91,11.08,4.27,21.97,19.30,16.59,20,7.38,37,13.65,156,57.56,7,5.04,3,2.16,2,1.44
Ministry for the Environment,2008,283.7,292,38.96,4.12,3.80,13.15,10.59,28.06,21.75,17.35,28,9.59,37,12.67,177,60.62,11,5.53,5,2.51,2,1.01
Ministry for the Environment,2009,294.4,305,39.42,4.21,3.68,14.08,13.25,25.46,16.18,17.43,25,8.20,34,11.15,194,63.61,6,2.54,6,2.54,3,1.27
Ministry for the Environment,2010,294.2,302,39.75,4.46,5.69,11.38,,25.04,11.21,5.97,29,9.60,39,12.91,186,61.59,5,3.05,9,5.49,4,2.44
Ministry for the Environment,2011,306.3,315,38.76,4.24,3.50,11.67,12.38,29.50,15.80,11.48,39,12.38,44,13.97,207,65.71,4,2.27,14,7.95,4,2.27
Ministry for the Environment,2012,258.3,267,38.73,4.29,4.48,12.24,12.50,30.58,12.45,9.30,13,4.87,42,15.73,166,62.17,5,3.25,12,7.79,1,0.65
Ministry for the Environment,2013,270.2,277,38.55,4.04,3.71,12.00,10.40,27.21,19.65,11.88,22,7.94,43,15.52,173,62.45,5,2.09,13,5.44,1,0.42
Ministry of Fisheries,2000,275.8,282,39.03,8.75,,,,,,,39,13.83,,,95,33.69,33,16.84,6,3.06,5,2.55
Ministry of Fisheries,2001,298.1,305,39.52,8.02,,,,11.93,11.30,15.49,17,5.57,,,101,33.11,42,19.72,9,4.23,4,1.88
Ministry of Fisheries,2002,313.2,320,40.52,8.18,,,,12.48,9.80,14.91,16,5.00,,,106,33.13,39,16.60,9,3.83,5,2.13
Ministry of Fisheries,2003,336.1,343,40.82,8.12,,18.14,22.22,12.07,10.49,13.84,18,5.25,,,116,33.82,38,14.39,8,3.03,5,1.89
Ministry of Fisheries,2004,366.3,374,40.53,8.11,5.90,17.42,19.88,11.16,8.80,13.26,17,4.55,,,134,35.83,36,12.24,10,3.40,5,1.70
Ministry of Fisheries,2005,372.4,379,40.89,7.96,5.51,16.92,19.83,15.41,12.24,14.71,17,4.49,,,129,34.04,46,14.56,12,3.80,4,1.27
Ministry of Fisheries,2006,408.9,417,41.27,7.93,5.56,17.01,22.11,10.05,7.93,11.45,22,5.28,,,149,35.73,53,12.71,11,2.64,4,0.96
Ministry of Fisheries,2007,437.0,445,41.24,7.59,5.33,16.86,20.48,15.78,12.03,20.77,9,2.02,71,15.96,156,35.06,52,11.69,14,3.15,5,1.12
Ministry of Fisheries,2008,435.2,445,42.06,8.28,6.64,20.19,30.17,13.26,11.78,14.12,15,3.37,66,14.83,146,32.81,62,13.96,12,2.70,6,1.35
Ministry of Fisheries,2009,447.5,458,42.21,8.38,6.56,19.92,27.07,10.41,7.20,9.85,27,5.90,67,14.63,159,34.72,56,12.23,12,2.62,6,1.31
Ministry of Fisheries,2010,427.9,436,42.94,8.85,5.51,19.73,30.61,19.02,7.59,9.88,24,5.50,57,13.07,146,33.49,60,14.18,12,2.84,7,1.65
Ministry of Fisheries,2011,433.3,444,43.04,9.07,6.10,18.40,10.20,19.77,11.80,18.99,30,6.76,58,13.06,157,35.36,66,15.24,14,3.23,4,0.92
Ministry of Foreign Affairs & Trade,2000,587.5,594,41.62,13.78,,,,,,,41,6.90,,,281,47.31,57,10.80,9,1.70,24,4.55
Ministry of Foreign Affairs & Trade,2001,605.5,613,41.74,13.67,,,,6.46,5.51,9.09,40,6.53,,,290,47.31,57,10.38,14,2.55,29,5.28
Ministry of Foreign Affairs & Trade,2002,609.7,616,42.31,13.93,,,,5.70,4.54,9.02,44,7.14,,,295,47.89,58,11.05,11,2.10,29,5.52
Ministry of Foreign Affairs & Trade,2003,621.9,628,42.90,13.97,3.92,17.88,18.63,6.27,4.15,3.17,42,6.69,,,314,50.00,67,11.88,13,2.30,32,5.67
Ministry of Foreign Affairs & Trade,2004,636.3,642,42.96,13.60,4.29,18.54,24.75,6.61,5.54,5.33,37,5.76,,,328,51.09,59,12.19,11,2.27,27,5.58
Ministry of Foreign Affairs & Trade,2005,664.3,674,43.06,13.12,2.86,22.06,35.23,13.22,11.43,21.76,37,5.49,,,352,52.23,58,11.01,13,2.47,25,4.74
Ministry of Foreign Affairs & Trade,2006,699.1,709,43.32,12.83,3.46,21.64,35.10,14.03,6.76,11.91,44,6.21,,,370,52.19,56,14.89,20,5.32,24,6.38
Ministry of Foreign Affairs & Trade,2007,722.7,734,43.51,12.63,4.32,23.50,38.77,9.15,4.95,6.57,26,3.54,150,20.44,395,53.81,57,13.41,23,5.41,26,6.12
Ministry of Foreign Affairs & Trade,2008,790.2,803,43.30,12.04,4.10,22.73,36.33,11.06,5.76,8.61,52,6.48,238,29.64,443,55.17,58,11.35,30,5.87,33,6.46
Ministry of Foreign Affairs & Trade,2009,899.8,914,42.99,11.19,4.18,22.02,32.85,6.41,3.73,5.19,56,6.13,260,28.45,497,54.38,75,9.29,36,4.46,37,4.58
Ministry of Foreign Affairs & Trade,2010,864.5,883,44.15,11.85,5.38,24.66,41.76,10.35,7.13,9.50,57,6.46,251,28.43,469,53.11,74,9.59,34,4.40,33,4.27
Ministry of Foreign Affairs & Trade,2011,841.0,858,44.63,12.56,4.80,23.00,39.30,15.28,9.20,13.82,94,10.96,264,30.77,457,53.26,75,10.49,33,4.62,36,5.03
Ministry of Foreign Affairs & Trade,2012,796.9,815,44.90,12.52,5.20,25.15,45.00,19.37,12.50,20.73,59,7.24,246,30.18,424,52.02,70,10.85,31,4.81,30,4.65
Ministry of Foreign Affairs & Trade,2013,760.9,777,42.97,10.22,6.38,24.80,41.60,26.51,7.62,7.78,63,8.11,180,23.17,402,51.74,63,12.02,26,4.96,19,3.63
Government Communications Security Bureau,2003,252.6,263,46.21,10.38,4.47,12.90,17.84,,,14.49,1,0.38,,,64,24.33,16,12.21,,,5,3.82
Government Communications Security Bureau,2004,276.1,284,45.35,9.96,5.09,12.95,16.98,5.85,5.54,1.34,4,1.41,,,78,27.46,15,11.11,,,5,3.70
Government Communications Security Bureau,2005,294.6,303,45.39,10.04,3.35,20.52,33.80,3.75,3.44,1.34,1,0.33,,,86,28.38,17,9.88,2,1.16,6,3.49
Government Communications Security Bureau,2006,293.5,300,45.88,10.58,6.89,21.84,36.79,9.95,5.39,3.42,8,2.67,,,92,30.67,6,3.39,5,2.82,4,2.26
Government Communications Security Bureau,2007,292.5,297,45.87,10.22,5.68,20.84,38.77,10.39,7.63,8.08,12,4.04,39,13.13,88,29.63,19,9.64,5,2.54,8,4.06
Government Communications Security Bureau,2008,293.4,298,46.41,11.30,5.88,20.18,34.63,7.39,5.89,5.33,6,2.01,38,12.75,82,27.52,21,10.05,5,2.39,8,3.83
Government Communications Security Bureau,2009,310.1,314,45.85,10.27,5.06,10.06,10.70,8.82,8.32,14.46,5,1.59,43,13.69,91,28.98,20,8.97,5,2.24,8,3.59
Government Communications Security Bureau,2010,302.7,309,46.54,11.01,5.54,20.47,34.04,4.17,4.26,6.25,8,2.59,43,13.92,94,30.42,20,9.30,6,2.79,7,3.26
Government Communications Security Bureau,2011,282.3,290,46.18,10.62,5.30,11.30,15.00,13.02,6.90,0.00,9,3.10,42,14.48,93,32.07,19,9.18,8,3.86,7,3.38
Government Communications Security Bureau,2012,293.6,299,46.62,10.93,5.10,11.60,12.00,5.43,5.60,3.28,9,3.01,43,14.38,97,32.44,18,8.37,10,4.65,9,4.19
Government Communications Security Bureau,2013,304.6,310,45.75,10.24,5.87,22.00,37.20,8.54,6.76,6.45,8,2.58,41,13.23,111,35.81,19,8.26,13,5.65,10,4.35
Ministry of Health,2000,444.0,467,40.95,6.86,,,,,,,64,13.70,,,285,61.03,45,10.51,21,4.91,8,1.87
Ministry of Health,2001,781.4,848,40.02,4.58,,,,31.79,15.32,14.74,128,15.09,,,558,65.80,77,11.53,27,4.04,21,3.14
Ministry of Health,2002,818.5,855,41.17,4.47,,,,29.48,18.53,19.76,96,11.23,,,569,66.55,85,11.07,36,4.69,26,3.39
Ministry of Health,2003,"1,011.6","1,046",40.97,4.07,3.50,15.49,17.81,22.51,17.78,20.48,140,13.38,,,701,67.02,128,13.28,48,4.98,49,5.08
Ministry of Health,2004,"1,084.7","1,119",41.19,4.46,4.09,7.48,,20.69,13.77,12.97,151,13.49,,,728,65.06,135,12.98,62,5.96,48,4.62
Ministry of Health,2005,"1,061.3","1,094",41.56,4.91,4.32,15.60,11.58,26.39,19.19,23.31,123,11.24,,,711,64.99,119,11.68,55,5.40,46,4.51
Ministry of Health,2006,"1,157.2","1,191",41.31,4.74,0.55,13.88,14.72,27.31,19.29,22.42,130,10.92,,,762,63.98,108,9.90,65,5.96,46,4.22
Ministry of Health,2007,"1,278.1","1,317",41.69,4.44,4.76,12.92,13.49,22.89,16.88,17.85,115,8.73,263,19.97,836,63.48,113,9.28,84,6.90,57,4.68
Ministry of Health,2008,"1,432.2","1,478",41.80,4.82,4.42,12.99,12.22,25.62,19.62,23.28,193,13.06,294,19.89,938,63.46,125,9.00,122,8.78,57,4.10
Ministry of Health,2009,"1,441.7","1,489",42.27,4.71,5.49,13.90,13.55,21.03,13.87,18.53,135,9.07,325,21.83,947,63.60,124,8.84,125,8.92,53,3.78
Ministry of Health,2010,"1,291.1","1,340",43.38,5.54,7.10,14.52,14.36,22.20,14.65,17.74,87,6.49,305,22.76,835,62.31,125,9.92,113,8.97,45,3.57
Ministry of Health,2011,"1,121.8","1,164",44.08,6.09,5.81,15.78,19.93,26.52,15.84,19.22,43,3.69,271,23.28,727,62.46,99,9.13,92,8.49,44,4.06
Ministry of Health,2012,"1,077.8","1,124",44.27,6.26,7.27,14.73,17.00,21.85,18.78,22.72,40,3.56,256,22.78,709,63.08,90,8.58,91,8.67,44,4.19
Ministry of Health,2013,"1,088.6","1,132",45.04,6.55,6.25,13.79,13.60,18.09,15.80,19.33,77,6.80,267,23.59,739,65.28,92,8.62,94,8.81,40,3.75
Inland Revenue Department,2000,"4,245.4","4,428",39.48,10.83,,,,,,,495,11.18,,,2866,64.72,348,11.69,200,6.72,197,6.62
Inland Revenue Department,2001,"4,373.3","4,573",39.82,10.06,,,,20.80,12.20,29.65,177,3.87,,,2943,64.36,389,12.11,203,6.32,185,5.76
Inland Revenue Department,2002,"4,417.6","4,629",40.42,10.27,,,,13.58,11.00,21.44,112,2.42,,,2960,63.94,376,12.04,204,6.53,183,5.86
Inland Revenue Department,2003,"4,523.1","4,753",40.71,10.52,7.29,12.04,10.65,12.85,10.51,23.74,121,2.55,,,3046,64.09,371,11.18,262,7.90,204,6.15
Inland Revenue Department,2004,"4,580.3","4,801",41.06,10.69,7.57,12.59,11.18,14.09,12.01,23.31,141,2.94,,,3110,64.78,393,11.01,299,8.38,220,6.16
Inland Revenue Department,2005,"4,760.2","4,997",41.06,10.75,7.47,13.19,13.22,14.35,11.48,24.53,145,2.90,,,3261,65.26,446,11.68,336,8.80,241,6.31
Inland Revenue Department,2006,"5,223.9","5,463",40.56,9.98,8.14,14.14,16.86,17.25,12.10,22.60,146,2.67,,,3598,65.86,493,11.62,381,8.98,271,6.39
Inland Revenue Department,2007,"5,595.2","5,842",40.57,9.73,7.32,13.20,15.11,14.67,12.66,22.77,145,2.48,733,12.55,3862,66.11,523,11.72,445,9.98,298,6.68
Inland Revenue Department,2008,"5,879.9","6,143",40.83,9.55,8.64,13.72,16.42,14.89,13.34,22.44,113,1.84,725,11.80,4049,65.91,557,12.19,487,10.66,316,6.91
Inland Revenue Department,2009,"6,025.2","6,273",41.30,10.00,9.12,13.29,13.42,10.68,9.45,17.60,131,2.09,288,4.59,4101,65.38,520,10.64,522,10.68,252,5.16
Inland Revenue Department,2010,"5,511.8","5,731",42.09,10.59,8.99,13.47,14.76,13.83,7.69,13.72,97,1.69,274,4.78,3730,65.08,454,10.90,476,11.43,216,5.19
Inland Revenue Department,2011,"5,645.9","5,827",42.27,11.16,9.30,13.60,15.30,11.61,7.40,17.66,99,1.70,251,4.31,3751,64.37,459,11.69,496,12.64,247,6.29
Inland Revenue Department,2012,"5,301.3","5,471",43.09,11.32,9.11,14.22,15.40,15.77,11.76,24.94,97,1.77,227,4.15,3515,64.25,424,11.78,241,6.70,240,6.67
Inland Revenue Department,2013,"5,475.2","5,628",43.05,11.30,10.11,14.00,16.00,12.45,10.57,21.50,178,3.16,232,4.12,3590,63.79,388,10.79,413,11.48,218,6.06
Department of Internal Affairs,2000,"1,003.8","1,038",40.92,6.09,,,,,,,312,30.06,,,565,54.43,157,17.48,39,4.34,56,6.24
Department of Internal Affairs,2001,885.7,926,41.87,5.55,,,,22.71,14.62,19.26,175,18.90,,,502,54.21,116,15.85,26,3.55,54,7.38
Department of Internal Affairs,2002,940.0,985,41.87,5.85,,,,20.62,13.02,16.01,185,18.78,,,538,54.62,124,15.20,33,4.04,64,7.84
Department of Internal Affairs,2003,984.0,"1,026",42.09,5.52,,,,9.15,7.21,8.38,107,10.43,,,548,53.41,134,15.16,38,4.30,63,7.13
Department of Internal Affairs,2004,"1,062.8","1,096",41.88,5.58,7.08,13.08,16.05,19.89,14.12,18.21,75,6.84,,,595,54.29,134,14.50,27,2.92,91,9.85
Department of Internal Affairs,2005,"1,098.2","1,132",42.15,5.73,5.71,14.96,17.24,24.15,20.44,35.93,69,6.10,,,605,53.45,144,14.98,41,4.27,70,7.28
Department of Internal Affairs,2006,"1,222.8","1,254",41.55,5.92,4.84,14.43,16.54,24.48,13.69,18.71,271,21.61,,,686,54.70,148,14.22,50,4.80,88,8.45
Department of Internal Affairs,2007,"1,268.1","1,299",41.77,5.64,3.58,14.85,16.47,22.56,16.30,18.62,209,16.09,166,12.78,706,54.35,98,9.64,47,4.62,65,6.39
Department of Internal Affairs,2008,"1,299.1","1,337",41.86,5.69,5.50,16.51,20.57,26.71,21.88,30.70,233,17.43,179,13.39,722,54.00,86,8.93,51,5.30,50,5.19
Department of Internal Affairs,2009,"1,424.5","1,466",41.59,5.71,5.48,15.37,16.89,24.33,12.88,15.38,226,15.42,196,13.37,822,56.07,153,12.75,97,8.08,82,6.83
Department of Internal Affairs,2010,"1,504.7","1,546",41.43,5.94,7.00,17.06,20.66,16.27,12.35,17.49,244,15.78,208,13.45,857,55.43,158,11.99,107,8.12,96,7.28
Department of Internal Affairs,2011,"1,963.7","2,041",43.29,7.25,5.16,15.85,19.83,23.31,13.60,20.73,297,14.55,279,13.67,1174,57.52,172,9.71,141,7.96,116,6.55
Department of Internal Affairs,2012,"1,924.0","2,008",43.07,7.47,6.30,15.24,16.01,24.10,14.98,15.72,307,15.29,285,14.19,1175,58.52,176,10.02,146,8.31,116,6.61
Department of Internal Affairs,2013,"2,013.3","2,100",43.11,7.44,7.17,15.00,16.20,20.50,12.86,19.18,332,15.81,290,13.81,1245,59.29,183,9.92,154,8.35,130,7.05
Ministry of Justice,2000,169.8,175,37.81,2.74,,,,,,,28,16.00,,,102,58.29,20,13.79,,,5,3.45
Ministry of Justice,2001,183.4,189,39.40,2.92,,,,35.16,32.08,34.21,18,9.52,,,126,66.67,16,8.84,3,1.66,4,2.21
Ministry of Justice,2002,185.8,194,40.38,3.30,,,,21.41,19.65,24.54,19,9.79,,,132,68.04,20,10.53,5,2.63,5,2.63
Ministry of Justice,2003,188.8,195,40.39,3.60,5.57,11.58,8.02,62.72,17.24,13.14,22,11.28,,,132,67.69,21,10.99,6,3.14,5,2.62
Ministry of Justice,2004,206.4,215,39.68,3.65,4.59,12.24,9.39,23.90,22.10,13.33,26,12.09,,,139,64.65,26,12.15,6,2.80,11,5.14
Ministry of Justice,2005,"2,573.8","2,733",41.52,7.11,6.49,11.65,7.21,48.85,34.80,51.72,290,10.61,,,1778,65.06,453,18.81,136,5.65,232,9.63
Ministry of Justice,2006,"2,733.0","2,873",41.41,6.91,6.51,11.34,6.34,29.40,19.89,31.67,218,7.59,,,1900,66.13,502,18.30,167,6.09,255,9.30
Ministry of Justice,2007,"2,852.0","2,981",41.76,6.89,6.18,11.15,5.97,19.13,16.65,22.87,219,7.35,366,12.28,1960,65.75,526,18.51,191,6.72,257,9.04
Ministry of Justice,2008,"3,046.0","3,217",42.38,6.90,7.72,11.16,5.87,23.94,18.18,27.97,279,8.67,428,13.30,2102,65.34,536,17.94,219,7.33,274,9.17
Ministry of Justice,2009,"3,112.8","3,250",42.57,7.25,6.54,11.12,4.66,20.50,14.27,21.14,230,7.08,521,16.03,2136,65.72,560,18.51,213,7.04,273,9.02
Ministry of Justice,2010,"3,205.0","3,349",42.70,7.34,7.08,10.76,5.03,17.61,11.52,17.06,187,5.58,505,15.08,2193,65.48,565,18.29,243,7.87,284,9.19
Ministry of Justice,2011,"3,068.4","3,192",43.33,7.68,7.50,11.80,0.50,21.89,14.90,23.73,168,5.26,470,14.72,2114,66.23,534,18.34,219,7.52,264,9.07
Ministry of Justice,2012,"3,473.1","3,632",43.39,7.27,7.50,11.80,0.07,19.26,13.87,24.41,225,6.19,528,14.54,2413,66.44,557,17.53,234,7.37,285,8.97
Ministry of Justice,2013,"3,450.4","3,591",43.33,7.20,6.28,11.90,9.44,21.40,12.61,16.36,244,6.79,472,13.14,2381,66.30,542,17.44,225,7.24,286,9.20
Department of Labour,2000,840.6,864,40.64,9.12,,,,,,,82,9.49,,,467,54.05,69,9.36,41,5.56,55,7.46
Department of Labour,2001,"1,091.5","1,117",40.97,8.12,,,,23.12,14.79,22.54,155,13.88,,,619,55.42,146,15.08,60,6.20,91,9.40
Department of Labour,2002,"1,080.6","1,103",42.08,7.96,,,,17.30,12.27,16.93,76,6.89,,,606,54.94,150,15.53,60,6.21,93,9.63
Department of Labour,2003,"1,199.0","1,223",41.80,7.65,9.78,14.64,16.16,14.70,11.69,17.03,77,6.30,,,684,55.93,148,14.06,85,8.07,105,9.97
Department of Labour,2004,"1,322.3","1,350",41.79,6.84,5.76,14.83,17.06,18.58,15.56,20.52,106,7.85,,,778,57.63,160,12.88,115,9.26,112,9.02
Department of Labour,2005,"1,371.2","1,406",41.23,6.74,5.54,14.43,15.08,26.34,15.90,20.66,109,7.75,,,827,58.82,114,10.34,165,14.97,95,8.62
Department of Labour,2006,"1,545.6","1,587",40.56,5.40,5.54,15.94,18.99,16.91,11.95,14.36,72,4.54,,,941,59.29,127,8.39,212,14.00,141,9.31
Department of Labour,2007,"1,608.4","1,655",41.38,6.27,6.72,15.60,17.49,24.49,19.02,24.49,57,3.44,213,12.87,964,58.25,120,8.18,227,15.47,139,9.48
Department of Labour,2008,"1,807.7","1,858",41.37,6.04,6.90,14.82,14.68,19.87,16.76,20.61,102,5.49,212,11.41,1083,58.29,137,8.20,280,16.76,171,10.23
Department of Labour,2009,"1,887.0","1,938",41.72,6.22,6.96,15.26,15.03,16.17,10.88,16.56,74,3.82,301,15.53,1117,57.64,130,7.37,293,16.62,137,7.77
Department of Labour,2010,"1,897.7","1,949",42.25,7.00,8.07,15.00,14.42,13.07,9.48,14.93,120,6.16,308,15.80,1146,58.80,156,8.19,326,17.11,198,10.39
Department of Labour,2011,"1,820.8","1,870",42.73,7.33,7.38,14.40,13.57,20.01,13.00,17.38,95,5.08,297,15.88,1086,58.07,157,8.60,313,17.14,179,9.80
Department of Labour,2012,"1,783.0","1,828",43.14,7.62,7.40,14.00,11.90,17.36,11.31,15.69,101,5.53,291,15.92,1040,56.89,167,9.34,312,17.45,173,9.68
Land Information New Zealand,2000,681.7,693,42.37,15.80,,,,,,,64,9.24,,,304,43.87,35,7.17,,,39,7.99
Land Information New Zealand,2001,645.8,660,43.11,16.32,,,,20.99,6.74,19.61,102,15.45,,,290,43.94,33,7.37,,,38,8.48
Land Information New Zealand,2002,613.7,624,42.59,14.84,,,,29.60,5.42,10.29,76,12.18,,,262,41.99,31,7.35,,,39,9.24
Land Information New Zealand,2003,583.0,594,42.52,14.63,6.26,9.59,12.06,19.38,6.62,4.76,54,9.09,,,252,42.42,33,7.48,,,36,8.16
Land Information New Zealand,2004,552.2,561,43.69,15.11,7.27,15.42,13.07,14.55,8.82,26.98,35,6.24,,,234,41.71,31,7.85,,,33,8.35
Land Information New Zealand,2005,546.1,556,44.51,15.05,7.34,17.69,24.36,16.29,12.16,27.59,29,5.22,,,234,42.09,36,8.31,,,30,6.93
Land Information New Zealand,2006,562.8,569,44.56,14.68,6.32,17.69,23.33,14.76,10.27,19.21,25,4.39,,,234,41.12,26,5.76,,,31,6.87
Land Information New Zealand,2007,504.2,510,44.94,14.38,6.40,19.00,28.66,23.35,8.51,11.48,20,3.92,66,12.94,210,41.18,24,6.02,,,26,6.52
Land Information New Zealand,2008,515.3,521,44.74,13.98,5.64,19.53,29.70,19.59,8.38,20.73,32,6.14,92,17.66,217,41.65,20,5.71,,,22,6.29
Land Information New Zealand,2009,515.5,525,43.92,12.39,6.07,18.15,30.56,22.37,9.63,16.03,17,3.24,65,12.38,234,44.57,27,6.54,6,1.45,24,5.81
Land Information New Zealand,2010,484.4,489,43.91,12.22,6.53,19.01,32.01,19.13,8.78,16.60,18,3.68,72,14.72,225,46.01,27,6.99,6,1.55,18,4.66
Land Information New Zealand,2011,424.6,430,44.26,12.13,5.20,18.46,29.20,28.51,13.70,20.62,17,3.95,61,14.19,206,47.91,30,7.37,5,1.23,12,2.95
Land Information New Zealand,2012,427.2,433,44.10,12.32,5.14,17.11,28.20,22.02,12.52,21.84,31,7.16,63,14.55,213,49.19,32,7.79,11,2.68,14,3.41
Land Information New Zealand,2013,473.3,484,43.85,11.33,4.88,16.60,25.50,13.52,7.24,8.14,30,6.20,71,14.67,246,50.83,39,8.48,17,3.70,13,2.83
Ministry of M?ori Development,2000,300.4,304,40.02,5.96,,,,,,,26,8.55,,,157,51.64,186,66.91,3,1.08,10,3.60
Ministry of M?ori Development,2001,294.0,296,40.81,5.90,,,,17.67,17.13,20.65,2,0.68,,,161,54.39,192,68.09,2,0.71,12,4.26
Ministry of M?ori Development,2002,302.4,306,41.48,5.84,,,,29.90,18.89,25.26,7,2.29,,,182,59.48,197,67.93,1,0.34,12,4.14
Ministry of M?ori Development,2003,343.3,348,41.49,5.98,,12.99,10.23,25.38,17.12,21.78,28,8.05,,,214,61.49,222,67.68,1,0.30,15,4.57
Ministry of M?ori Development,2004,335.3,345,42.54,6.62,6.11,14.22,13.04,26.84,22.08,27.62,49,14.20,,,211,61.16,225,68.60,4,1.22,12,3.66
